data,cma_pf,cotrijal_nmt
2025-10-01,70.00,60.00
2025-10-08,70.00,60.00
2025-10-15,70.00,60.00
2025-10-22,70.00,60.00
2025-10-29,70.00,60.00
2025-11-05,70.00,60.00
2025-11-12,69.00,60.00
2025-11-19,69.00,60.00
2025-11-26,68.50,60.00
2025-12-03,69.00,60.00
2025-12-10,69.00,61.00
2025-12-17,68.50,61.00
2025-12-24,NA,NA
2025-12-31,NA,NA
2026-01-07,69.00,60.00
2026-01-14,67.00,59.00
2026-01-21,66.00,58.00
2026-01-28,64.50,58.00
2026-02-04,64.00,57.00
2026-02-11,63.00,57.00
2026-02-18,62.00,57.00
2026-02-25,NA,57.00
2026-03-04,NA,56.00
2026-03-11,NA,56.00
2026-03-18,NA,56.00
2026-03-25,NA,56.00
2026-04-01,NA,56.00
2026-04-08,NA,57.00
2026-04-15,NA,57.00
2026-04-22,NA,57.00
2026-04-29,NA,57.00
2026-05-06,NA,57.00
2026-05-13,NA,57.00
2026-05-20,NA,57.00
2026-05-27,NA,58.00
2026-06-03,68.00,58.00
2026-06-10,68.00,58.00
2026-06-17,68.00,58.00
2026-06-24,68.00,58.00
2026-07-01,68.50,58.00
2026-07-08,68.50,58.00
